,tconst,originalTitle,backdrop_path,poster_path
6,tt0002898,Germinal,/3RkrScM39EJV2NT1ebU7rmQYkor.jpg,/yQfuyrNOTF1t2BokpT79PXekmnZ.jpg
49,tt0006206,Les vampires,/oaiVvkTYroYhLPIDd2Xcry72QAB.jpg,/8jO0Zmd468zS9WRLHpwsKUowZAX.jpg
64,tt0006886,Judex,/z6x19yItvcZvRJypTi5inSkCH1G.jpg,/t01u9TqcExE6bEqiyMGsImyjRoZ.jpg
121,tt0010307,J'accuse,/djSHA8FwFvuEvLHRvukSB8XmPPU.jpg,/A2atW1Y4Li8TOxCzPRVdQuK2TuY.jpg
139,tt0010969,L'Atlantide,/fhrgUG1uw2jbF66OaG9dHnMjXu7.jpg,/k2bdO0JIjpHzbupPlGcSO4wQEyC.jpg
157,tt0011302,L'homme du large,/lfnczJewRkFOfUXnv8qZSt1L80t.jpg,/bC0z68FMNxa3DrQxZQJBoRyOYRn.jpg
334,tt0013933,Coeur fidèle,/zpHkLYpJjUZdjfxMBI3VWqgM05n.jpg,/iVgllceWr3Da5QVRmj3b82yt90n.jpg
367,tt0014417,La roue,/vztsAbG3PdWkhPy6whJzeg5mb8k.jpg,/5ed3ywd7lmDPhsCXmcdSih9SxP2.jpg
458,tt0015014,L'inhumaine,/j6Ykk5e99SxhzwXWV97ysvuRACm.jpg,/od2i9ksDCEQiNZ1Uel15G3n1xlY.jpg
584,tt0015794,Le fantôme du Moulin-Rouge,/AvxUr42esiRheUXBjtmrCRTgryR.jpg,/g5UYY9c8bMjWVR6b4dNu0Nil78e.jpg
666,tt0016232,Poil de carotte,/wR1HN2Hg5HIb6ulnSHsPtEsRlaA.jpg,/s742aD85gxvEsmQlQ8uqlv3qfCW.jpg
674,tt0016384,Das Spielzeug von Paris,/shNjxcucq36DMzzDLgVUdLD7vax.jpg,/b5oA61yWcJgthpH2Y1keB0m2cNV.jpg
683,tt0016491,Visages d'enfants,/bTY4ZSNMQXmtjUKRQVukwnwFIcy.jpg,/cNCOL8l9f9cqorL8dPRbBAOCniF.jpg
809,tt0017196,Nana,/4ag4cp7TtZocaIUY7fTkhYYRV2R.jpg,/lrIrTJ7qLNN4eRqOthQjPxclHKU.jpg
873,tt0017736,Casanova,/fhj1RhDCuhCBDA7aXJj4EddWkOc.jpg,/1is0bljtNdgCZA9Ld7dYT1XOU3Q.jpg
935,tt0018187,Le mystère de la tour Eiffel,/lxU5fw8wp7Fouz6FlZM0lNJPWM.jpg,/A0DtlJW17JqSw5qFIDp9ttIKfdv.jpg
936,tt0018192,Napoléon vu par Abel Gance,/bcTMwJWUTyIOlk1iHGul3syvAWd.jpg,/x0duTwP9rjVpa2O13r1GK8j61qG.jpg
1124,tt0019254,La passion de Jeanne d'Arc,/A1mteOfKdvK5er2sD5i02Qw3CWz.jpg,/8OYGtQlO8k9PcOm49apV62eVJQo.jpg
1174,tt0019480,Tire au flanc,/3WsbWwzkmbmQYuVtaUnPOujfbFY.jpg,/p7GisuYLzkxOhijaN70IEe1IjCY.jpg
1178,tt0019486,Le tournoi,/piulusN6BtLq0ezI6u7PL6DK1SK.jpg,/aPSJSbK2YTzq0qKpSYNNB685oFD.jpg
1235,tt0019646,L'argent,/tQJ99dVOjAHrXTjFP46Y3GyCAog.jpg,/pbGXz7Yn4eWV9Edv0gT2OiZuBSB.jpg
1440,tt0020182,Monte Cristo,/r1gccYvW08Skew8aMrEjz9sq8xO.jpg,/z1EvhG3zB8MSIAwbIXwGXTRZ1Ns.jpg
1458,tt0020228,Les nouveaux messieurs,/keWZNwOnSRQAFeg1pBaAImotgvl.jpg,/9OPHaz9n29BqBzQb9VdevFiwDm6.jpg
1622,tt0020656,Au bonheur des dames,/o5bRLCNBmWBCBluFlOLUgivdONs.jpg,/gFNBSuLaj6xhYPsqZm1jlcJiX8o.jpg
1676,tt0020814,David Golder,/tLpZ3qMvygYnn3KORRUZWSo89nN.jpg,/h0zEWE1TC9fSYsisZ5rP0VSSOhW.jpg
1809,tt0021168,Le mystère de la chambre jaune,/g9901bYqw2NUp7IA5BAQ4i7m5Cz.jpg,/4ZqHkX9kSWLRDQmYiu8NfZIE7y7.jpg
1826,tt0021234,Le parfum de la dame en noir,/yLvOnU94IY5C49anVnLAqX7QEFY.jpg,/ww6d4IBp6kpmYMlPSmAiZnW0biE.jpg
1828,tt0021247,La petite Lise,/aYfjkSv14AtFNxNs8wa7tPb47aY.jpg,/bhMdfoJSSpSEVNdXagUl3bjihl.jpg
1841,tt0021273,Prix de beauté (Miss Europe),/q9acG6xKjQwg61DFy6UEzBTbtPy.jpg,/zCKNgwP69GLQGch2tErOSQJSO4w.jpg
1870,tt0021409,Sous les toits de Paris,/KasY0w95s9YwYiBkwEmu43vlGb.jpg,/bV1CSNptsWDR1zhiTMKyOwC4MvM.jpg
1923,tt0021653,Berge in Flammen,/lWShZOM7STAqaQlF7Ej39mqkRzN.jpg,/bWz98phOygjDLXj5W7NyTRm6YFF.jpg
1927,tt0021671,Le blanc et le noir,/5j0m55b3LE1g7eQrTgRR5DXKmGp.jpg,/ow94R6sh0b2p4c91Ut7VyipnfJh.jpg
1942,tt0021739,La chienne,/hiaZPun8bezhRcY8rFJEtRE8PG.jpg,/h3b8k9sY4z8mIy0J6zu9O3ZIcLr.jpg
1984,tt0021754,Coeur de lilas,/9QPYksDbR5ZrQy1DZQ4zRxnj4DE.jpg,/8lDfcvkJEYjMmzgnPQhjC78qTKS.jpg
2034,tt0021855,Faubourg Montmartre,/1hz3kEhFuTq8h1QvxTGPheYa1di.jpg,/onB2hHFmdU8b65Qd4hsLEuuvoc3.jpg
2038,tt0021864,La fin du monde,/nrycLanWj1avjGEchQj1evoczWo.jpg,/vqZAjDdi1mYUdR61WBUpZE12HLf.jpg
2076,tt0022017,Kameradschaft,/x8Ta8xVfffyyGA9k8sdGf3VCFo2.jpg,/dSGMzPqWQz2IvjvVx0WDD3z7zBF.jpg
2135,tt0022125,Marius,/cwUXEEo5tCLcPESXnTv0h1yuSd4.jpg,/1dpo4ZJ4Sdv9XEUKNRGXvO6gp87.jpg
2142,tt0022141,Méphisto,/wPYibOsqxeUwXbs54FWlOqCAjRk.jpg,/r4F4gU89xP1G1efFE3az0pZqUt.jpg
