,tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,production_countries,primaryName,backdrop_path,poster_path
2081,tt1675434,Intouchables,2011,112,"Comedy,Drama",8.5,931842,FR,"François Cluzet,Anne Le Ny,Clotilde Mollet,Omar Sy,Audrey Fleurot,Joséphine de Meaux,Alba Gaïa Bellugi,Cyril Mendy,Absa Diatou Toure,Salimata Kamate",/bGksau9GGu0uJ8DJQ8DYc9JW5LM.jpg,/323BP0itpxTsO0skTwdnVmf7YC9.jpg
1428,tt0314067,Filantropica,2002,110,"Comedy,Drama",8.4,13877,"RO', 'FR","Mircea Diaconu,Gheorghe Dinica,Constantin Draganescu,Marius Florea Vizante,Monica Ghiuta,Florin Zamfirescu,Mara Nicolescu,Viorica Voda,Cristian Gheorghe",/djVpe9kegBOyoRDtAR45foLLL0S.jpg,/oUZppMFNUZqA1CqiJJnGXutmsBX.jpg
1278,tt0211915,Le fabuleux destin d'Amélie Poulain,2001,122,"Comedy,Romance",8.3,795465,"FR', 'DE","Lorella Cravotta,Jamel Debbouze,Mathieu Kassovitz,Claire Maurier,Serge Merlin,Clotilde Mollet,Isabelle Nanty,Dominique Pinon,Rufus,Audrey Tautou",/9Y9K6LeLrMeofOvX7hZW36Aj3OG.jpg,/oTKduWL2tpIKEmkAqF4mFEAWAsv.jpg
765,tt0091288,Jean de Florette,1986,120,"Comedy,Drama",8.1,27578,FR,"Gérard Depardieu,Daniel Auteuil,Elisabeth Depardieu,André Dupon,Margarita Lozano,Jean Maurel,Ernestine Mazurowna,Armand Meffre,Yves Montand,Pierre Nougaro",/qNBxyt60hnzBRSHo1uRkRU34fYE.jpg,/sH9FP9Flff1bGiHkPEKCmOwnzDw.jpg
182,tt0052861,La grande guerra,1959,137,"Comedy,Drama,War",8.1,4616,"FR', 'IT","Vittorio Gassman,Nicola Arigliano,Bernard Blier,Livio Lorenzon,Folco Lulli,Tiberio Mitri,Vittorio Sanipoli,Alberto Sordi,Mario Valdemarin,Romolo Valli",/fcH7FM74GoHgOUnKjpGAoKOxWvY.jpg,/aDvKsUb5y7GMNMz2HHNtuGww5t8.jpg
1729,tt10366460,CODA,2021,111,"Comedy,Drama,Music",8.0,165618,"FR', 'US","Kevin Chapman,Lonnie Farmer,John Fiore,Marlee Matlin,Troy Kotsur,Courtland Jones,Daniel Durant,Emilia Jones,Amy Forsyth,Molly B. Thomas",/v85FlkbMYKa5du1glm0YfYNsL2n.jpg,/BzVjmm8l23rPsijLiNLUzuQtyd.jpg
499,tt0070460,La nuit américaine,1973,116,"Comedy,Drama,Romance",8.0,24823,FR,"François Truffaut,Jacqueline Bisset,Nathalie Baye,Jean-Pierre Aumont,Nike Arrighi,Jean Champion,Valentina Cortese,Dani,Jean-Pierre Léaud,Alexandra Stewart",/6MbFN88F27WvGC9WhAXq5KUIgTj.jpg,/vUNdp6wRA7177aww0MPvocnu4xf.jpg
196,tt0053779,La dolce vita,1960,174,"Comedy,Drama",8.0,78343,"FR', 'IT","Marcello Mastroianni,Anouk Aimée,Anita Ekberg,Valeria Ciangottini,Alain Cuny,Yvonne Furneaux,Riccardo Garrone,Annibale Ninchi,Magali Noël,Walter Santesso",/zPbu0CFnAT2kYfbGWjgZBTajmzi.jpg,/kZF1akNxeNJiCiMRWdF0fe0x48H.jpg
2593,tt5765586,La capitale du bruit,2018,95,Comedy,8.0,11,FR,"Stéphane Bernard,Joséphine Comito,Ruby Minard,Pauline Joseph,Nicolas Baron,Nicolas Marlot,Thibaut Kuttler,Diane Breuil,Francis Gerardin",/4GJG9znQdDHJ9NrNUy3JyIIiKsq.jpg,/65dhlWPsvE47ZHEG4qg8pjNlHwf.jpg
68,tt0043686,Jeux interdits,1952,86,"Comedy,Drama,War",8.0,13131,FR,"Amédée,Laurence Badie,Madeleine Barbulée,Suzanne Courtal,Brigitte Fossey,Lucien Hubert,Jacques Marin,Marcel Mérovée,Violette Monnier,Georges Poujouly",/iNkgF4uBzcFTrY3NN6JrlCD5Ho.jpg,/nby91GNVXQAv1NmKvqlpEEdhcMQ.jpg
